order_id,product_id,category,warehouse_id,season,storage_type,perishable,fragile,on_hand_qty,avg_daily_sales,demand_std,lead_time_days,supplier_score,reorder_point,safety_stock,days_since_last_reorder,last_reorder_date,unit_weight_kg,unit_volume_m3,last_purchase_price,promotion,backorder_count,returns_rate,target_stockout_risk
O00630,P0123,Accessories,W5,Q4,Rack,0,0,51.0,3.57,0.72,9.0,76.0,42,10,19,2025-10-26,11.216,0.4586,0.78,0,0,0.013,0
O00789,P0049,Accessories,W4,Q2,Rack,0,0,78.0,8.16,5.84,12.0,64.0,203,105,4,2025-11-10,19.414,0.2161,2.76,0,1,0.005,1
O00685,P0089,Clothing,W4,Q1,Rack,0,0,34.0,2.94,1.27,7.0,86.0,34,13,13,2025-11-01,4.634,0.256,4.71,0,1,0.017,0
O00517,P0157,Hardware,W5,Q4,Pallet,0,0,50.0,4.17,1.72,12.0,90.0,81,31,8,2025-11-06,21.583,0.241,2.98,0,0,0.012,1
O00530,P0044,Chemicals,W3,Q4,Pallet,0,0,27.0,4.64,0.94,10.0,70.0,60,14,3,2025-11-11,3.386,0.1318,13.18,0,0,0.019,1
O00658,P0028,Perishables,W3,Q1,Rack,1,0,45.0,4.47,2.88,13.0,68.0,114,56,4,2025-11-10,6.838,0.0446,1.09,0,2,0.041,1
O00553,P0163,Electronics,W1,Q3,Pallet,0,1,62.0,9.4,3.26,7.0,74.0,100,34,1,2025-11-13,15.332,0.2953,9.29,0,0,0.022,0
O00532,P0100,Hardware,W3,Q3,Shelf,0,0,23.0,3.04,1.11,7.0,79.0,33,12,15,2025-10-30,13.006,0.429,4.82,0,0,0.017,1
O00322,P0048,Electronics,W3,Q2,Shelf,0,1,49.0,2.35,0.82,9.0,83.0,32,11,3,2025-11-11,22.652,0.051,7.22,0,0,0.007,0
O00071,P0122,Chemicals,W2,Q1,Rack,0,0,24.0,1.35,0.19,9.0,67.0,15,3,1,2025-11-13,0.772,0.3683,5.71,0,4,0.041,0
O00838,P0082,Electronics,W5,Q1,Rack,0,1,19.0,3.75,1.06,8.0,72.0,43,13,2,2025-11-12,23.329,0.3024,6.15,0,1,0.022,1
