product_id,product_name,supplier,category,warehouse_location,date_added,discontinued,price_USD,stock_level,weight_kg,length_cm,width_cm,height_cm,demand_30,demand_365,lead_time_days,return_rate_pct,defect_rate_pct,shelf_life_days
P0056,Product_P0056,Supplier_18,Electronics,East,2023-01-19,0,28.74,51,0.81,13.06,6.12,4.28,14,65,4,1.594,0.618,40
P0002,Product_P0002,Supplier_16,Home,Center,2024-02-14,0,21.04,42,0.157,2.0,1.81,2.22,5,61,1,1.447,0.482,27
P0020,Product_P0020,Supplier_9,Electronics,South,2022-06-26,0,27.84,51,0.674,11.72,5.1,3.39,12,105,3,0.0,0.621,44
P0024,Product_P0024,Supplier_19,Electronics,Center,2023-02-15,0,36.99,75,1.458,15.55,9.7,3.47,25,135,3,0.0,0.11,66
P0055,Product_P0055,Supplier_17,Electronics,West,2024-12-27,0,16.89,47,0.091,5.8,3.2,0.76,7,67,3,1.156,0.834,24
P0025,Product_P0025,Supplier_10,Food,South,2024-12-29,0,19.3,38,0.228,5.39,1.99,0.2,1,38,3,0.314,0.255,21
P0037,Product_P0037,Supplier_19,Home,West,2023-11-22,0,37.58,77,1.93,22.46,11.09,6.33,33,128,4,0.737,0.505,68
P0022,Product_P0022,Supplier_8,Health,East,2024-04-22,0,30.02,62,0.803,14.99,8.4,4.62,15,80,3,0.88,0.113,44
P0059,Product_P0059,Supplier_19,Clothing,North,2024-10-21,0,16.9,35,0.21,5.83,0.54,0.72,0,35,3,1.501,0.455,14
P0024,Product_P0024,Supplier_5,Home,Center,2025-02-24,0,26.02,60,0.447,11.26,5.31,3.1,13,70,3,0.0,0.444,37
P0015,Product_P0015,Supplier_2,Tools,Center,2023-08-11,1,18.14,46,0.041,4.25,0.92,0.99,5,44,3,2.181,0.473,21
P0012,Product_P0012,Supplier_15,Home,West,2023-11-05,0,12.76,46,0.01,1.69,0.5,0.2,2,26,4,0.235,0.609,29
P0046,Product_P0046,Supplier_17,Health,West,2023-05-14,1,27.51,46,0.98,12.42,5.56,1.45,11,79,3,1.461,0.652,40
P0031,Product_P0031,Supplier_10,Food,North,2022-03-28,0,1.0,21,0.01,1.0,0.5,0.2,0,0,4,1.08,0.0,1
P0043,Product_P0043,Supplier_2,Electronics,Center,2023-05-23,0,4.54,17,0.01,1.0,0.5,0.2,0,0,3,1.321,0.806,1
P0031,Product_P0031,Supplier_9,Health,North,2024-08-06,0,12.94,38,0.01,1.67,1.04,0.2,0,25,3,0.01,0.247,24
P0053,Product_P0053,Supplier_2,Food,West,2024-08-23,0,5.12,26,0.01,1.0,0.5,0.2,0,0,3,0.0,0.134,7
P0030,Product_P0030,Supplier_18,Electronics,West,2024-12-06,0,23.0,67,0.437,4.94,2.1,0.95,9,46,2,0.93,0.0,38
P0041,Product_P0041,Supplier_12,Clothing,South,2022-03-03,0,7.48,37,0.01,1.0,0.5,0.2,0,0,4,0.022,0.04,6
P0020,Product_P0020,Supplier_15,Clothing,West,2023-09-25,0,3.97,28,0.01,1.0,0.5,0.2,0,10,3,0.827,0.252,2
P0008,Product_P0008,Supplier_20,Home,West,2022-05-09,0,42.42,71,1.841,21.76,7.09,5.99,32,139,3,0.79,0.328,63
P0044,Product_P0044,Supplier_6,Food,North,2022-08-29,0,13.48,45,0.01,1.0,0.5,1.13,2,1,3,0.56,0.0,26
P0030,Product_P0030,Supplier_18,Electronics,South,2024-12-16,0,18.2,50,0.76,4.38,0.5,0.35,10,68,4,0.229,0.095,36
P0035,Product_P0035,Supplier_13,Tools,South,2023-08-20,0,10.27,11,0.01,1.0,0.5,0.2,0,18,5,3.372,1.098,1
P0021,Product_P0021,Supplier_4,Electronics,Center,2024-06-29,0,17.09,46,0.01,6.03,0.5,0.86,5,42,4,2.173,0.275,25
P0047,Product_P0047,Supplier_12,Health,East,2022-03-19,0,22.2,44,0.439,7.47,2.91,2.26,12,92,4,1.323,0.692,26
P0040,Product_P0040,Supplier_9,Food,Center,2023-05-16,0,5.45,26,0.01,1.0,0.5,0.2,0,0,2,0.714,0.253,5
P0058,Product_P0058,Supplier_2,Electronics,Center,2024-03-20,0,24.7,53,0.303,5.97,4.09,3.09,10,42,6,0.42,0.163,40
P0028,Product_P0028,Supplier_16,Home,Center,2022-06-10,0,17.07,45,0.01,1.0,0.5,0.2,0,33,2,0.623,0.581,17
P0039,Product_P0039,Supplier_1,Electronics,South,2023-01-26,0,14.55,49,0.01,1.47,0.5,0.2,0,30,4,0.0,0.099,28
P0017,Product_P0017,Supplier_4,Food,North,2022-03-19,0,13.45,35,0.01,1.0,0.5,0.2,0,5,3,0.473,0.379,12
P0012,Product_P0012,Supplier_15,Electronics,West,2024-02-21,0,34.92,92,1.567,15.75,11.06,4.96,29,138,1,0.0,0.0,60
P0052,Product_P0052,Supplier_20,Food,South,2025-03-11,0,19.39,52,0.383,6.61,4.11,1.69,8,20,3,0.813,0.59,32
P0050,Product_P0050,Supplier_1,Health,West,2024-09-19,0,5.08,33,0.01,1.0,0.5,0.2,0,23,3,1.523,0.12,17
P0018,Product_P0018,Supplier_20,Clothing,West,2025-03-15,0,27.4,68,0.621,13.92,5.14,3.04,9,69,4,1.06,0.0,40
P0047,Product_P0047,Supplier_15,Home,East,2024-10-11,0,12.0,37,0.01,1.0,0.5,0.2,0,0,3,1.729,0.75,8
P0055,Product_P0055,Supplier_3,Home,Center,2024-10-23,0,19.68,69,0.287,1.32,0.5,0.62,3,46,2,0.502,0.027,34
P0028,Product_P0028,Supplier_13,Tools,East,2023-11-24,0,1.0,20,0.01,1.0,0.5,0.2,0,0,1,0.0,0.0,1
P0060,Product_P0060,Supplier_18,Clothing,Center,2023-09-14,0,4.7,36,0.01,1.0,0.5,0.2,0,0,5,1.016,0.448,1
P0003,Product_P0003,Supplier_13,Clothing,South,2023-05-03,0,24.15,51,0.812,6.89,6.95,2.46,17,55,2,2.135,0.578,36
P0051,Product_P0051,Supplier_10,Clothing,West,2024-09-08,0,34.1,58,1.533,15.47,7.47,4.8,21,93,4,1.348,0.592,44
P0015,Product_P0015,Supplier_20,Home,East,2022-08-07,0,21.75,46,0.505,4.72,2.09,1.37,5,32,3,0.0,0.0,27
P0016,Product_P0016,Supplier_7,Food,South,2022-03-09,0,19.33,43,0.784,6.94,0.99,1.88,6,50,3,2.208,0.816,20
P0022,Product_P0022,Supplier_8,Electronics,South,2025-02-11,0,16.75,41,0.01,1.0,1.58,0.2,1,56,4,0.0,0.04,20
P0054,Product_P0054,Supplier_1,Tools,Center,2022-01-05,0,2.99,31,0.01,1.0,0.5,0.2,0,0,5,0.0,0.113,2
P0049,Product_P0049,Supplier_18,Food,West,2025-03-18,0,13.59,41,0.01,1.0,0.5,0.2,0,40,4,1.766,0.429,14
P0031,Product_P0031,Supplier_12,Electronics,Center,2024-05-24,0,17.48,30,0.01,2.51,0.5,1.19,2,62,4,1.568,0.372,18
P0031,Product_P0031,Supplier_18,Food,Center,2023-01-30,0,32.18,72,1.185,10.43,4.55,2.8,16,76,3,0.0,0.0,52
P0001,Product_P0001,Supplier_12,Food,South,2024-04-17,0,28.34,56,0.629,7.86,3.94,3.12,16,78,4,1.58,0.555,42
P0011,Product_P0011,Supplier_20,Clothing,Center,2024-09-08,0,3.6,16,0.01,1.0,0.5,0.2,0,19,3,1.256,0.514,1
P0006,Product_P0006,Supplier_9,Electronics,North,2022-10-22,0,21.05,61,0.649,8.4,1.57,1.78,2,89,4,0.092,0.082,35
P0023,Product_P0023,Supplier_2,Electronics,West,2024-07-14,0,16.68,44,0.114,3.43,0.5,0.2,3,1,4,1.679,0.122,28
P0009,Product_P0009,Supplier_14,Home,Center,2024-08-23,0,13.93,39,0.01,2.57,0.5,0.2,0,29,4,1.054,0.176,12
P0052,Product_P0052,Supplier_4,Home,Center,2022-10-27,0,28.36,57,1.045,11.01,4.78,2.79,11,83,2,1.808,0.088,41
P0016,Product_P0016,Supplier_15,Health,East,2022-02-20,0,28.95,62,1.167,12.54,5.85,2.24,14,113,3,0.0,0.0,51
P0058,Product_P0058,Supplier_17,Clothing,West,2022-09-02,0,29.32,62,1.27,7.79,6.41,2.68,17,75,3,0.105,0.098,43
P0038,Product_P0038,Supplier_19,Home,West,2022-08-29,0,11.96,40,0.01,1.0,0.5,0.2,0,0,2,0.352,0.464,12
P0044,Product_P0044,Supplier_6,Health,Center,2022-03-20,0,20.64,41,0.377,4.58,1.52,0.97,0,32,5,0.697,0.529,12
P0019,Product_P0019,Supplier_9,Food,North,2024-05-21,0,27.1,53,1.19,12.53,4.53,1.26,13,60,3,0.783,0.842,46
P0045,Product_P0045,Supplier_17,Home,East,2023-04-01,0,30.27,65,1.206,13.51,5.24,4.54,13,112,3,0.419,0.0,45
P0013,Product_P0013,Supplier_15,Home,North,2024-11-27,0,17.84,38,0.01,5.63,0.66,0.2,1,10,3,1.216,0.746,27
P0059,Product_P0059,Supplier_5,Electronics,Center,2022-10-30,0,9.62,63,0.01,1.0,0.5,0.2,0,1,1,0.0,0.0,27
P0032,Product_P0032,Supplier_18,Health,West,2023-06-28,0,8.81,26,0.01,1.0,0.5,0.2,0,0,3,1.512,0.463,10
P0036,Product_P0036,Supplier_4,Tools,West,2024-02-06,0,1.0,30,0.01,1.0,0.5,0.2,0,0,3,0.0,0.0,4
P0009,Product_P0009,Supplier_2,Food,North,2024-11-18,0,27.22,68,0.962,11.32,4.57,3.5,11,113,4,0.24,0.075,47
P0046,Product_P0046,Supplier_19,Home,South,2023-09-22,0,31.86,75,1.233,11.96,7.55,3.83,20,101,3,0.603,0.0,61
P0046,Product_P0046,Supplier_5,Food,Center,2023-03-25,0,15.1,54,0.01,1.32,1.48,0.2,0,28,3,1.06,0.0,35
P0049,Product_P0049,Supplier_4,Electronics,West,2024-11-06,0,35.95,70,1.702,14.71,9.52,5.44,24,120,3,1.617,0.421,54
P0037,Product_P0037,Supplier_5,Health,South,2023-01-08,0,21.41,57,0.623,10.26,3.29,2.89,9,93,3,0.0,0.0,34
P0031,Product_P0031,Supplier_19,Health,West,2022-04-06,0,15.05,40,0.01,1.0,0.5,0.2,0,29,5,0.364,0.197,14
P0031,Product_P0031,Supplier_13,Home,West,2023-06-19,0,25.23,50,0.665,10.22,4.89,2.78,9,54,4,0.491,0.219,28
P0059,Product_P0059,Supplier_16,Food,South,2024-07-31,0,39.05,72,1.551,16.29,11.07,5.6,25,99,4,0.923,0.404,62
P0055,Product_P0055,Supplier_12,Food,North,2022-02-06,0,17.51,52,0.22,2.11,1.17,0.2,8,27,3,0.894,0.043,35
P0019,Product_P0019,Supplier_9,Health,Center,2023-12-05,0,34.74,72,1.547,17.57,7.33,5.81,24,117,1,0.0,0.0,69
P0002,Product_P0002,Supplier_16,Home,South,2023-12-15,0,1.0,6,0.01,1.0,0.5,0.2,0,0,2,1.295,0.974,1
P0045,Product_P0045,Supplier_14,Tools,South,2025-01-19,0,28.49,65,0.749,13.2,5.7,4.29,14,90,3,0.0,0.0,43
P0032,Product_P0032,Supplier_1,Food,West,2022-12-10,0,15.94,57,0.01,4.5,0.5,0.2,0,28,3,0.0,0.0,23
P0043,Product_P0043,Supplier_20,Food,South,2022-12-01,1,12.33,52,0.01,5.96,1.35,0.2,0,10,3,0.975,0.23,28
P0034,Product_P0034,Supplier_4,Home,Center,2023-06-13,0,25.0,48,0.385,9.55,4.69,1.68,12,45,5,2.107,0.62,23
P0001,Product_P0001,Supplier_9,Food,North,2023-03-05,0,1.0,23,0.01,1.0,0.5,0.2,0,0,4,1.434,0.613,1
P0021,Product_P0021,Supplier_19,Electronics,North,2024-06-02,0,17.27,43,0.206,3.3,0.5,0.2,6,53,4,0.764,0.0,24
P0003,Product_P0003,Supplier_14,Food,North,2024-02-10,1,22.3,58,0.537,9.72,4.73,3.06,5,99,3,0.0,0.477,36
